IEEE SIGNAL PROCESSING MAGAZINE,6.000
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,5.308
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,4.403
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,4.232
IEEE Communications Surveys and Tutorials,3.692
IEEE TRANSACTIONS ON MEDICAL IMAGING,3.639
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,3.481
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,3.466
IEEE TRANSACTIONS ON POWER ELECTRONICS,3.240
IEEE JOURNAL OF SOLID-STATE CIRCUITS,3.132
IEEE Power & Energy Magazine,3.082
IEEE Transactions on Robotics,3.063
IEEE TRANSACTIONS ON IMAGE PROCESSING,2.918
IEEE Computational Intelligence Magazine,2.905
IEEE ENGINEERING IN MEDICINE AND BIOLOGY MAGAZINE,2.844
IEEE COMMUNICATIONS MAGAZINE,2.837
IEEE TRANSACTIONS ON INFORMATION THEORY,2.728
IEEE ELECTRON DEVICE LETTERS,2.719
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,2.699
IEEE TRANSACTIONS ON FUZZY SYSTEMS,2.695
IEEE TRANSACTIONS ON SIGNAL PROCESSING,2.651
IEEE Journal of Selected Topics in Signal Processing,2.647
IEEE TRANSACTIONS ON NEURAL NETWORKS,2.633
IEEE-ASME TRANSACTIONS ON MECHATRONICS,2.577
IEEE INTELLIGENT SYSTEMS,2.570
IEEE MICRO,2.527
IEEE INTERNET COMPUTING,2.514
IEEE TRANSACTIONS ON ENERGY CONVERSION,2.489
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2.485
IEEE JOURNAL OF QUANTUM ELECTRONICS,2.480
IEEE TRANSACTIONS ON MOBILE COMPUTING,2.381
IEEE TRANSACTIONS ON POWER SYSTEMS,2.355
IEEE Photonics Journal,2.344
IEEE-ACM TRANSACTIONS ON NETWORKING,2.292
IEEE TRANSACTIONS ON ELECTRON DEVICES,2.267
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,2.265
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2.258
IEEE PERVASIVE COMPUTING,2.189
IEEE ROBOTICS & AUTOMATION MAGAZINE,2.187
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,2.182
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,2.152
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,2.105
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,2.093
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,2.025
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1.995
IEEE PHOTONICS TECHNOLOGY LETTERS,1.989
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,1.952
IEEE NETWORK,1.934
IEEE ELECTRICAL INSULATION MAGAZINE,1.933
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1.922
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1.864
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1.851
IEEE Industrial Electronics Magazine,1.844
IEEE CONTROL SYSTEMS MAGAZINE,1.839
IEEE Transactions on Information Forensics and Security,1.826
IEEE WIRELESS COMMUNICATIONS,1.798
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,1.790
IEEE TRANSACTIONS ON MULTIMEDIA,1.790
IEEE MICROWAVE MAGAZINE,1.771
