CA-A CANCER JOURNAL FOR CLINICIANS,162.500
NEW ENGLAND JOURNAL OF MEDICINE,54.420
CHEMICAL REVIEWS,45.661
REVIEWS OF MODERN PHYSICS,42.860
NATURE,42.351
Annual Review of Immunology,41.392
NATURE REVIEWS GENETICS,39.794
LANCET,39.207
NATURE BIOTECHNOLOGY,39.080
NATURE REVIEWS CANCER,37.912
NATURE REVIEWS DRUG DISCOVERY,37.231
NATURE REVIEWS MOLECULAR CELL BIOLOGY,36.458
NATURE MATERIALS,36.425
NATURE REVIEWS IMMUNOLOGY,33.836
Nature Nanotechnology,33.265
CELL,33.116
SCIENCE,31.477
NATURE REVIEWS NEUROSCIENCE,31.376
CHEMICAL SOCIETY REVIEWS,30.425
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,30.387
Nature Photonics,29.958
NATURE GENETICS,29.648
PHYSIOLOGICAL REVIEWS,29.041
NATURE MEDICINE,28.054
PROGRESS IN POLYMER SCIENCE,26.854
Annual Review of Biochemistry,26.534
NATURE METHODS,25.953
PROGRESS IN MATERIALS SCIENCE,25.870
NATURE IMMUNOLOGY,24.973
LANCET ONCOLOGY,24.725
SURFACE SCIENCE REPORTS,24.562
ACCOUNTS OF CHEMICAL RESEARCH,24.348
Annual Review of Astronomy and Astrophysics,24.037
CANCER CELL,23.893
NATURE REVIEWS MICROBIOLOGY,23.317
Nature Chemistry,23.297
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,22.910
Annual Review of Neuroscience,22.660
Cell Stem Cell,22.151
Annual Review of Pathology-Mechanisms of Disease,22.128
LANCET NEUROLOGY,21.823
TRENDS IN COGNITIVE SCIENCES,21.147
TRENDS IN COGNITIVE SCIENCES,21.147
Nature Physics,20.603
Annual Review of Psychology,20.533
Annual Review of Psychology,20.533
Annual Review of Cell and Developmental Biology,20.241
NATURE CELL BIOLOGY,20.058
IMMUNITY,19.748
LANCET INFECTIOUS DISEASES,19.446
ENDOCRINE REVIEWS,19.358
Annual Review of Plant Biology,18.900
PHARMACOLOGICAL REVIEWS,18.551
Annual Review of Pharmacology and Toxicology,18.523
Nano Today,18.432
Annual Review of Genetics,18.115
ADVANCES IN PHYSICS,18.062
JOURNAL OF CLINICAL ONCOLOGY,17.960
Alzheimers & Dementia,17.472
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,16.909
Cell Metabolism,16.747
Living Reviews in Relativity,16.526
Annual Review of Marine Science,16.381
BMJ-British Medical Journal,16.378
ALDRICHIMICA ACTA,16.333
ANNALS OF INTERNAL MEDICINE,16.104
CLINICAL MICROBIOLOGY REVIEWS,16.000
NEURON,15.982
Cancer Discovery,15.929
Nature Reviews Clinical Oncology,15.696
Annual Review of Physical Chemistry,15.678
REPORTS ON PROGRESS IN PHYSICS,15.633
Annual Review of Materials Research,15.629
Energy & Environmental Science,15.490
Annual Review of Medicine,15.478
ADVANCED MATERIALS,15.409
TRENDS IN ECOLOGY & EVOLUTION,15.353
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,15.343
Nature Climate Change,15.295
Nature Climate Change,15.295
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,15.255
JNCI-Journal of the National Cancer Institute,15.161
MOLECULAR PSYCHIATRY,15.147
NATURE NEUROSCIENCE,14.976
BEHAVIORAL AND BRAIN SCIENCES,14.962
BEHAVIORAL AND BRAIN SCIENCES,14.962
CIRCULATION,14.948
EUROPEAN HEART JOURNAL,14.723
Annual Review of Physiology,14.696
MOLECULAR CELL,14.464
Science Translational Medicine,14.414
PSYCHOLOGICAL BULLETIN,14.392
PSYCHOLOGICAL BULLETIN,14.392
Advanced Energy Materials,14.385
MOLECULAR BIOLOGY AND EVOLUTION,14.308
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,14.137
Nature Reviews Neurology,14.103
Molecular Systems Biology,14.099
PLOS MEDICINE,14.000
GASTROENTEROLOGY,13.926
JOURNAL OF EXPERIMENTAL MEDICINE,13.912
GENOME RESEARCH,13.852
FEMS MICROBIOLOGY REVIEWS,13.806
JOURNAL OF CLINICAL INVESTIGATION,13.765
ARCHIVES OF GENERAL PSYCHIATRY,13.747
ARCHIVES OF GENERAL PSYCHIATRY,13.747
AMERICAN JOURNAL OF PSYCHIATRY,13.559
AMERICAN JOURNAL OF PSYCHIATRY,13.559
TRENDS IN BIOCHEMICAL SCIENCES,13.522
TRENDS IN PLANT SCIENCE,13.479
GUT,13.319
ASTRONOMY AND ASTROPHYSICS REVIEW,13.312
ARCHIVES OF INTERNAL MEDICINE,13.246
Nature Chemical Biology,13.217
ECOLOGY LETTERS,13.042
Annual Review of Entomology,13.021
Annual Review of Microbiology,13.018
PROGRESS IN LIPID RESEARCH,12.963
Nature Reviews Endocrinology,12.958
NANO LETTERS,12.940
Annual Review of Clinical Psychology,12.921
Annual Review of Clinical Psychology,12.921
IMMUNOLOGICAL REVIEWS,12.909
TRENDS IN NEUROSCIENCES,12.902
World Psychiatry,12.846
World Psychiatry,12.846
Psychological Science in the Public Interest,12.833
ADVANCED DRUG DELIVERY REVIEWS,12.707
GENES & DEVELOPMENT,12.639
EUROPEAN UROLOGY,12.480
Annual Review of Biomedical Engineering,12.450
TRENDS IN CELL BIOLOGY,12.314
Annual Review of Biophysics,12.250
Cell Host & Microbe,12.194
MOLECULAR INTERVENTIONS,12.143
COORDINATION CHEMISTRY REVIEWS,12.098
ACS Nano,12.033
TRENDS IN IMMUNOLOGY,12.031
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,11.986
CELL RESEARCH,11.981
ANNALS OF NEUROLOGY,11.910
Annual Review of Condensed Matter Physics,11.909
Living Reviews in Solar Physics,11.833
MATERIALS SCIENCE & ENGINEERING R-REPORTS,11.789
PLOS BIOLOGY,11.771
Nature Geoscience,11.668
NATURE STRUCTURAL & MOLECULAR BIOLOGY,11.633
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,11.625
TRENDS IN GENETICS,11.597
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,11.574
SYSTEMATIC BIOLOGY,11.532
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,11.444
Autophagy,11.423
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,11.336
Annual Review of Fluid Mechanics,11.260
